ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Juneteenth National Independence Day (observed),Juneteenth National Independence Day (observed)_lower,Juneteenth National Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-01-04,130.71317651271056,128.06469405013203,136.95786534476676,130.71317651271056,130.71317651271056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013665206298475691,0.013665206298475691,0.013665206298475691,0.002282045900099683,0.002282045900099683,0.002282045900099683,0.011383160398376009,0.011383160398376009,0.011383160398376009,0.0,0.0,0.0,132.49939903568583
2021-01-05,130.77912895099456,128.1175483238856,136.76259818018602,130.77912895099456,130.77912895099456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012455934904528615,0.012455934904528615,0.012455934904528615,0.0034152831047098904,0.0034152831047098904,0.0034152831047098904,0.009040651799818724,0.009040651799818724,0.009040651799818724,0.0,0.0,0.0,132.40810526807908
2021-01-06,130.84508138927856,127.31979473838156,136.48210418501586,130.84508138927856,130.84508138927856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009732464401103072,0.009732464401103072,0.009732464401103072,0.0029793008258573,0.0029793008258573,0.0029793008258573,0.006753163575245772,0.006753163575245772,0.006753163575245772,0.0,0.0,0.0,132.11852648595914
2021-01-07,130.91103382756256,127.55243980851174,136.2671283606369,130.91103382756256,130.91103382756256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006482541077275819,0.006482541077275819,0.006482541077275819,0.0019247719999935765,0.0019247719999935765,0.0019247719999935765,0.004557769077282243,0.004557769077282243,0.004557769077282243,0.0,0.0,0.0,131.75966998181838
2021-01-08,130.97698626584656,127.01106550645216,136.07919159012016,130.97698626584656,130.97698626584656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555724365889235,0.005555724365889235,0.005555724365889235,0.0030631486556280257,0.0030631486556280257,0.0030631486556280257,0.0024925757102612096,0.0024925757102612096,0.0024925757102612096,0.0,0.0,0.0,131.70465829981447
2021-01-11,131.17484358069856,126.63955462180307,135.39770502845383,131.17484358069856,131.17484358069856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002604397816921803,-0.0002604397816921803,-0.0002604397816921803,0.0022820459000759434,0.0022820459000759434,0.0022820459000759434,-0.0025424856817681234,-0.0025424856817681234,-0.0025424856817681234,0.0,0.0,0.0,131.1406804330729
2021-01-12,131.24079601898256,126.65323131806399,136.004671509831,131.24079601898256,131.24079601898256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002990190422470663,-0.0002990190422470663,-0.0002990190422470663,0.0034152831047133104,0.0034152831047133104,0.0034152831047133104,-0.0037143021469603766,-0.0037143021469603766,-0.0037143021469603766,0.0,0.0,0.0,131.20155252185322
2021-01-13,131.30674845726656,126.10738655547232,135.63589043142875,131.30674845726656,131.30674845726656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001600217245879974,-0.001600217245879974,-0.001600217245879974,0.002979300825857148,0.002979300825857148,0.002979300825857148,-0.004579518071737122,-0.004579518071737122,-0.004579518071737122,0.0,0.0,0.0,131.09662913388482
2021-01-14,131.37270089555057,126.51722942210901,135.6121828995949,131.37270089555057,131.37270089555057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031871231563537616,-0.0031871231563537616,-0.0031871231563537616,0.0019247719999974757,0.0019247719999974757,0.0019247719999974757,-0.0051118951563512375,-0.0051118951563512375,-0.0051118951563512375,0.0,0.0,0.0,130.95399991841361
2021-01-15,131.43865333383457,126.85245947917834,135.38017782708258,131.43865333383457,131.43865333383457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002227040885608729,-0.002227040885608729,-0.002227040885608729,0.0030631486556222448,0.0030631486556222448,0.0030631486556222448,-0.005290189541230974,-0.005290189541230974,-0.005290189541230974,0.0,0.0,0.0,131.14593407891076
2021-01-19,131.70246308697057,127.0851255346688,136.11482721855597,131.70246308697057,131.70246308697057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00210112,-0.00210112,-0.00210112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00210112,-0.00210112,-0.00210112,-0.0009362111834033844,-0.0009362111834033844,-0.0009362111834033844,0.0034152831047102646,0.0034152831047102646,0.0034152831047102646,-0.0022503742881136487,-0.0022503742881136487,-0.0022503742881136487,0.0,0.0,0.0,131.57916176814678
2021-01-20,131.76841552525457,127.77202886462285,136.3886486021813,131.76841552525457,131.76841552525457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002419908134893271,0.002419908134893271,0.002419908134893271,0.0029793008258569955,0.0029793008258569955,0.0029793008258569955,-0.0005593926909637243,-0.0005593926909637243,-0.0005593926909637243,0.0,0.0,0.0,132.0872829859061
2021-01-21,131.83436796353854,128.03258601483176,136.66580820706906,131.83436796353854,131.83436796353854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034000933490820743,0.0034000933490820743,0.0034000933490820743,0.00192477199999792,0.00192477199999792,0.00192477199999792,0.0014753213490841539,0.0014753213490841539,0.0014753213490841539,0.0,0.0,0.0,132.2826171212318
